valid_time,blh,number,latitude,longitude
2025-07-01,1167.4126,0,23.5,87.25
2025-07-02,1173.3694,0,23.5,87.25
2025-07-03,735.3613,0,23.5,87.25
2025-07-04,813.9414,0,23.5,87.25
2025-07-05,676.4885,0,23.5,87.25
2025-07-06,718.801,0,23.5,87.25
2025-07-07,829.2256,0,23.5,87.25
2025-07-08,690.57007,0,23.5,87.25
2025-07-09,576.02295,0,23.5,87.25
2025-07-10,651.28345,0,23.5,87.25
2025-07-11,982.1516,0,23.5,87.25
2025-07-12,1078.0134,0,23.5,87.25
2025-07-13,1051.772,0,23.5,87.25
2025-07-14,737.1304,0,23.5,87.25
2025-07-15,724.7551,0,23.5,87.25
2025-07-16,732.3369,0,23.5,87.25
2025-07-17,1020.68384,0,23.5,87.25
2025-07-18,920.09375,0,23.5,87.25
2025-07-19,1219.0537,0,23.5,87.25
2025-07-20,925.28296,0,23.5,87.25
2025-07-21,1030.845,0,23.5,87.25
2025-07-22,1173.9294,0,23.5,87.25
2025-07-23,1218.5974,0,23.5,87.25
2025-07-24,1104.0671,0,23.5,87.25
2025-07-25,1117.4543,0,23.5,87.25
2025-07-26,955.4075,0,23.5,87.25
2025-07-27,870.08813,0,23.5,87.25
2025-07-28,403.68335,0,23.5,87.25
2025-07-29,493.66675,0,23.5,87.25
2025-07-30,640.8733,0,23.5,87.25
2025-07-31,592.9011,0,23.5,87.25
2025-08-01,580.4336,0,23.5,87.25
2025-08-02,1080.6995,0,23.5,87.25
2025-08-03,895.37915,0,23.5,87.25
2025-08-04,836.9778,0,23.5,87.25
2025-08-05,1020.96704,0,23.5,87.25
2025-08-06,840.39087,0,23.5,87.25
2025-08-07,502.65503,0,23.5,87.25
2025-08-08,546.94165,0,23.5,87.25
2025-08-09,1195.5999,0,23.5,87.25
2025-08-10,1122.9077,0,23.5,87.25
2025-08-11,1122.832,0,23.5,87.25
2025-08-12,829.8992,0,23.5,87.25
2025-08-13,736.4248,0,23.5,87.25
2025-08-14,858.3469,0,23.5,87.25
2025-08-15,1044.2229,0,23.5,87.25
2025-08-16,1318.2874,0,23.5,87.25
2025-08-17,1337.032,0,23.5,87.25
2025-08-18,1239.313,0,23.5,87.25
2025-08-19,970.50977,0,23.5,87.25
2025-08-20,727.2212,0,23.5,87.25
2025-08-21,850.9426,0,23.5,87.25
2025-08-22,413.72412,0,23.5,87.25
2025-08-23,651.16455,0,23.5,87.25
2025-08-24,631.3899,0,23.5,87.25
2025-08-25,846.4275,0,23.5,87.25
2025-08-26,1280.4739,0,23.5,87.25
2025-08-27,994.3262,0,23.5,87.25
2025-08-28,1082.5212,0,23.5,87.25
2025-08-29,995.54297,0,23.5,87.25
2025-08-30,1022.9575,0,23.5,87.25
2025-08-31,1022.53906,0,23.5,87.25
2025-09-01,1143.0273,0,23.5,87.25
2025-09-02,994.6826,0,23.5,87.25
2025-09-03,1331.8474,0,23.5,87.25
2025-09-04,1113.4475,0,23.5,87.25
2025-09-05,1052.1201,0,23.5,87.25
2025-09-06,1003.4148,0,23.5,87.25
2025-09-07,1016.7571,0,23.5,87.25
2025-09-08,1051.0061,0,23.5,87.25
2025-09-09,1082.5708,0,23.5,87.25
2025-09-10,876.5408,0,23.5,87.25
2025-09-11,741.21387,0,23.5,87.25
2025-09-12,1135.0984,0,23.5,87.25
2025-09-13,892.47363,0,23.5,87.25
2025-09-14,891.28906,0,23.5,87.25
2025-09-15,635.2676,0,23.5,87.25
2025-09-16,902.35034,0,23.5,87.25
2025-09-17,873.0083,0,23.5,87.25
2025-09-18,991.5188,0,23.5,87.25
2025-09-19,1013.3391,0,23.5,87.25
2025-09-20,1089.1816,0,23.5,87.25
2025-09-21,1000.47705,0,23.5,87.25
2025-09-22,811.31006,0,23.5,87.25
2025-09-23,1128.0884,0,23.5,87.25
2025-09-24,926.5403,0,23.5,87.25
2025-09-25,1126.9126,0,23.5,87.25
2025-09-26,1341.449,0,23.5,87.25
2025-09-27,1329.8948,0,23.5,87.25
2025-09-28,952.3882,0,23.5,87.25
2025-09-29,1096.8027,0,23.5,87.25
2025-09-30,951.0071,0,23.5,87.25
2025-10-01,1055.9653,0,23.5,87.25
2025-10-02,744.292,0,23.5,87.25
2025-10-03,967.9292,0,23.5,87.25
2025-10-04,787.34863,0,23.5,87.25
2025-10-05,897.6101,0,23.5,87.25
2025-10-06,867.32446,0,23.5,87.25
2025-10-07,1032.5496,0,23.5,87.25
2025-10-08,1128.9697,0,23.5,87.25
2025-10-09,1256.9631,0,23.5,87.25
2025-10-10,1138.2129,0,23.5,87.25
2025-10-11,1219.1631,0,23.5,87.25
2025-10-12,1218.9536,0,23.5,87.25
2025-10-13,1214.9519,0,23.5,87.25
2025-10-14,1339.5464,0,23.5,87.25
2025-10-15,1420.0437,0,23.5,87.25
2025-10-16,1299.0967,0,23.5,87.25
2025-10-17,1388.439,0,23.5,87.25
2025-10-18,1493.2896,0,23.5,87.25
2025-10-19,1140.3188,0,23.5,87.25
2025-10-20,1433.5752,0,23.5,87.25
2025-10-21,1428.1274,0,23.5,87.25
2025-10-22,1561.0857,0,23.5,87.25
2025-10-23,1350.8496,0,23.5,87.25
2025-10-24,1653.8301,0,23.5,87.25
2025-10-25,1584.9717,0,23.5,87.25
2025-10-26,1401.117,0,23.5,87.25
2025-10-27,1326.0149,0,23.5,87.25
2025-10-28,1296.1394,0,23.5,87.25
2025-10-29,901.1382,0,23.5,87.25
2025-10-30,570.718,0,23.5,87.25
2025-10-31,989.5476,0,23.5,87.25
