valid_time,blh,number,latitude,longitude
2025-07-01,548.5361,0,23.5,87.25
2025-07-02,505.39413,0,23.5,87.25
2025-07-03,280.59012,0,23.5,87.25
2025-07-04,249.31502,0,23.5,87.25
2025-07-05,262.67383,0,23.5,87.25
2025-07-06,355.86478,0,23.5,87.25
2025-07-07,410.63098,0,23.5,87.25
2025-07-08,469.15298,0,23.5,87.25
2025-07-09,435.16788,0,23.5,87.25
2025-07-10,365.86182,0,23.5,87.25
2025-07-11,380.2262,0,23.5,87.25
2025-07-12,299.99844,0,23.5,87.25
2025-07-13,426.75266,0,23.5,87.25
2025-07-14,465.94077,0,23.5,87.25
2025-07-15,529.4627,0,23.5,87.25
2025-07-16,435.07007,0,23.5,87.25
2025-07-17,507.7809,0,23.5,87.25
2025-07-18,447.55765,0,23.5,87.25
2025-07-19,480.6412,0,23.5,87.25
2025-07-20,320.51825,0,23.5,87.25
2025-07-21,393.52768,0,23.5,87.25
2025-07-22,340.62192,0,23.5,87.25
2025-07-23,374.40707,0,23.5,87.25
2025-07-24,385.30142,0,23.5,87.25
2025-07-25,687.3847,0,23.5,87.25
2025-07-26,489.6338,0,23.5,87.25
2025-07-27,516.61646,0,23.5,87.25
2025-07-28,227.2536,0,23.5,87.25
2025-07-29,323.38318,0,23.5,87.25
2025-07-30,233.21667,0,23.5,87.25
2025-07-31,292.25305,0,23.5,87.25
2025-08-01,330.75226,0,23.5,87.25
2025-08-02,427.9648,0,23.5,87.25
2025-08-03,397.35876,0,23.5,87.25
2025-08-04,296.7518,0,23.5,87.25
2025-08-05,333.57828,0,23.5,87.25
2025-08-06,277.93488,0,23.5,87.25
2025-08-07,286.9984,0,23.5,87.25
2025-08-08,312.8117,0,23.5,87.25
2025-08-09,478.8544,0,23.5,87.25
2025-08-10,412.12674,0,23.5,87.25
2025-08-11,385.6237,0,23.5,87.25
2025-08-12,470.1002,0,23.5,87.25
2025-08-13,452.85025,0,23.5,87.25
2025-08-14,453.3242,0,23.5,87.25
2025-08-15,412.1882,0,23.5,87.25
2025-08-16,516.0318,0,23.5,87.25
2025-08-17,495.92642,0,23.5,87.25
2025-08-18,681.0628,0,23.5,87.25
2025-08-19,609.7764,0,23.5,87.25
2025-08-20,432.4205,0,23.5,87.25
2025-08-21,377.79678,0,23.5,87.25
2025-08-22,241.65985,0,23.5,87.25
2025-08-23,490.19864,0,23.5,87.25
2025-08-24,342.62537,0,23.5,87.25
2025-08-25,296.22467,0,23.5,87.25
2025-08-26,449.79175,0,23.5,87.25
2025-08-27,588.1399,0,23.5,87.25
2025-08-28,611.8759,0,23.5,87.25
2025-08-29,530.1046,0,23.5,87.25
2025-08-30,437.10342,0,23.5,87.25
2025-08-31,369.4258,0,23.5,87.25
2025-09-01,422.8422,0,23.5,87.25
2025-09-02,501.30444,0,23.5,87.25
2025-09-03,748.8408,0,23.5,87.25
2025-09-04,457.75595,0,23.5,87.25
2025-09-05,426.34213,0,23.5,87.25
2025-09-06,465.6155,0,23.5,87.25
2025-09-07,496.80984,0,23.5,87.25
2025-09-08,480.67493,0,23.5,87.25
2025-09-09,465.34058,0,23.5,87.25
2025-09-10,293.0752,0,23.5,87.25
2025-09-11,239.67743,0,23.5,87.25
2025-09-12,374.05966,0,23.5,87.25
2025-09-13,374.5039,0,23.5,87.25
2025-09-14,393.4337,0,23.5,87.25
2025-09-15,305.6403,0,23.5,87.25
2025-09-16,381.56662,0,23.5,87.25
2025-09-17,364.3518,0,23.5,87.25
2025-09-18,306.51855,0,23.5,87.25
2025-09-19,273.60828,0,23.5,87.25
2025-09-20,346.50717,0,23.5,87.25
2025-09-21,326.54355,0,23.5,87.25
2025-09-22,313.16666,0,23.5,87.25
2025-09-23,393.27026,0,23.5,87.25
2025-09-24,326.99265,0,23.5,87.25
2025-09-25,335.94617,0,23.5,87.25
2025-09-26,683.2109,0,23.5,87.25
2025-09-27,563.42804,0,23.5,87.25
2025-09-28,380.88467,0,23.5,87.25
2025-09-29,327.1325,0,23.5,87.25
2025-09-30,323.91528,0,23.5,87.25
2025-10-01,375.25546,0,23.5,87.25
2025-10-02,520.17303,0,23.5,87.25
2025-10-03,601.5421,0,23.5,87.25
2025-10-04,517.72986,0,23.5,87.25
2025-10-05,283.83997,0,23.5,87.25
2025-10-06,300.10196,0,23.5,87.25
2025-10-07,326.91644,0,23.5,87.25
2025-10-08,312.26813,0,23.5,87.25
2025-10-09,367.686,0,23.5,87.25
2025-10-10,376.1444,0,23.5,87.25
2025-10-11,406.92065,0,23.5,87.25
2025-10-12,375.09122,0,23.5,87.25
2025-10-13,400.3721,0,23.5,87.25
2025-10-14,417.69455,0,23.5,87.25
2025-10-15,418.4203,0,23.5,87.25
2025-10-16,418.793,0,23.5,87.25
2025-10-17,422.87256,0,23.5,87.25
2025-10-18,352.5825,0,23.5,87.25
2025-10-19,318.36612,0,23.5,87.25
2025-10-20,422.29684,0,23.5,87.25
2025-10-21,410.588,0,23.5,87.25
2025-10-22,463.71487,0,23.5,87.25
2025-10-23,392.42053,0,23.5,87.25
2025-10-24,452.36838,0,23.5,87.25
2025-10-25,463.4283,0,23.5,87.25
2025-10-26,377.38724,0,23.5,87.25
2025-10-27,407.99866,0,23.5,87.25
2025-10-28,409.46518,0,23.5,87.25
2025-10-29,371.53317,0,23.5,87.25
2025-10-30,337.23544,0,23.5,87.25
2025-10-31,471.17056,0,23.5,87.25
