valid_time,blh,number,latitude,longitude
2025-07-01,316.74707,0,23.5,87.25
2025-07-02,190.33846,0,23.5,87.25
2025-07-03,44.08629,0,23.5,87.25
2025-07-04,62.54886,0,23.5,87.25
2025-07-05,70.9106,0,23.5,87.25
2025-07-06,194.15526,0,23.5,87.25
2025-07-07,28.206772,0,23.5,87.25
2025-07-08,307.23218,0,23.5,87.25
2025-07-09,347.03174,0,23.5,87.25
2025-07-10,228.96222,0,23.5,87.25
2025-07-11,67.402466,0,23.5,87.25
2025-07-12,12.13271,0,23.5,87.25
2025-07-13,60.437042,0,23.5,87.25
2025-07-14,236.70537,0,23.5,87.25
2025-07-15,343.50806,0,23.5,87.25
2025-07-16,243.39941,0,23.5,87.25
2025-07-17,250.20248,0,23.5,87.25
2025-07-18,134.73184,0,23.5,87.25
2025-07-19,133.1629,0,23.5,87.25
2025-07-20,18.331116,0,23.5,87.25
2025-07-21,90.69638,0,23.5,87.25
2025-07-22,45.760464,0,23.5,87.25
2025-07-23,52.97928,0,23.5,87.25
2025-07-24,40.870697,0,23.5,87.25
2025-07-25,390.95874,0,23.5,87.25
2025-07-26,162.91893,0,23.5,87.25
2025-07-27,200.75223,0,23.5,87.25
2025-07-28,64.1958,0,23.5,87.25
2025-07-29,149.29903,0,23.5,87.25
2025-07-30,23.27829,0,23.5,87.25
2025-07-31,47.181107,0,23.5,87.25
2025-08-01,100.45882,0,23.5,87.25
2025-08-02,180.51193,0,23.5,87.25
2025-08-03,150.35709,0,23.5,87.25
2025-08-04,88.23598,0,23.5,87.25
2025-08-05,72.3513,0,23.5,87.25
2025-08-06,135.09778,0,23.5,87.25
2025-08-07,93.69945,0,23.5,87.25
2025-08-08,143.61093,0,23.5,87.25
2025-08-09,155.98076,0,23.5,87.25
2025-08-10,181.96594,0,23.5,87.25
2025-08-11,87.24382,0,23.5,87.25
2025-08-12,122.37508,0,23.5,87.25
2025-08-13,281.73608,0,23.5,87.25
2025-08-14,274.486,0,23.5,87.25
2025-08-15,140.84383,0,23.5,87.25
2025-08-16,51.661346,0,23.5,87.25
2025-08-17,48.025665,0,23.5,87.25
2025-08-18,393.1682,0,23.5,87.25
2025-08-19,377.20044,0,23.5,87.25
2025-08-20,97.18886,0,23.5,87.25
2025-08-21,118.241135,0,23.5,87.25
2025-08-22,34.961884,0,23.5,87.25
2025-08-23,64.645935,0,23.5,87.25
2025-08-24,158.02425,0,23.5,87.25
2025-08-25,28.693657,0,23.5,87.25
2025-08-26,90.750305,0,23.5,87.25
2025-08-27,267.90067,0,23.5,87.25
2025-08-28,424.79297,0,23.5,87.25
2025-08-29,284.8078,0,23.5,87.25
2025-08-30,152.54745,0,23.5,87.25
2025-08-31,17.592941,0,23.5,87.25
2025-09-01,34.761032,0,23.5,87.25
2025-09-02,182.7523,0,23.5,87.25
2025-09-03,400.22876,0,23.5,87.25
2025-09-04,116.04898,0,23.5,87.25
2025-09-05,178.36267,0,23.5,87.25
2025-09-06,164.96364,0,23.5,87.25
2025-09-07,156.59395,0,23.5,87.25
2025-09-08,155.57384,0,23.5,87.25
2025-09-09,123.825,0,23.5,87.25
2025-09-10,49.96753,0,23.5,87.25
2025-09-11,41.44615,0,23.5,87.25
2025-09-12,84.56076,0,23.5,87.25
2025-09-13,97.480576,0,23.5,87.25
2025-09-14,143.47133,0,23.5,87.25
2025-09-15,110.73198,0,23.5,87.25
2025-09-16,158.97255,0,23.5,87.25
2025-09-17,201.66862,0,23.5,87.25
2025-09-18,23.077911,0,23.5,87.25
2025-09-19,46.457794,0,23.5,87.25
2025-09-20,26.695374,0,23.5,87.25
2025-09-21,33.935684,0,23.5,87.25
2025-09-22,85.59511,0,23.5,87.25
2025-09-23,111.51953,0,23.5,87.25
2025-09-24,12.548856,0,23.5,87.25
2025-09-25,17.963316,0,23.5,87.25
2025-09-26,109.0806,0,23.5,87.25
2025-09-27,213.92809,0,23.5,87.25
2025-09-28,15.157709,0,23.5,87.25
2025-09-29,25.694805,0,23.5,87.25
2025-09-30,71.67093,0,23.5,87.25
2025-10-01,63.86995,0,23.5,87.25
2025-10-02,428.83496,0,23.5,87.25
2025-10-03,471.48608,0,23.5,87.25
2025-10-04,231.72891,0,23.5,87.25
2025-10-05,40.510895,0,23.5,87.25
2025-10-06,52.03485,0,23.5,87.25
2025-10-07,26.828491,0,23.5,87.25
2025-10-08,34.089783,0,23.5,87.25
2025-10-09,16.808884,0,23.5,87.25
2025-10-10,32.9879,0,23.5,87.25
2025-10-11,76.95021,0,23.5,87.25
2025-10-12,28.694382,0,23.5,87.25
2025-10-13,60.740524,0,23.5,87.25
2025-10-14,96.90173,0,23.5,87.25
2025-10-15,80.90941,0,23.5,87.25
2025-10-16,38.58078,0,23.5,87.25
2025-10-17,51.33188,0,23.5,87.25
2025-10-18,11.542064,0,23.5,87.25
2025-10-19,17.364273,0,23.5,87.25
2025-10-20,45.43727,0,23.5,87.25
2025-10-21,28.760544,0,23.5,87.25
2025-10-22,42.921814,0,23.5,87.25
2025-10-23,20.985878,0,23.5,87.25
2025-10-24,16.398323,0,23.5,87.25
2025-10-25,25.49356,0,23.5,87.25
2025-10-26,40.1075,0,23.5,87.25
2025-10-27,36.74904,0,23.5,87.25
2025-10-28,47.439117,0,23.5,87.25
2025-10-29,209.73955,0,23.5,87.25
2025-10-30,171.67432,0,23.5,87.25
2025-10-31,197.35861,0,23.5,87.25
